Gene,Search Term,Search Filter,Number of Results
CIT,CIT [treatment or intervention]AND patient,AND patient,2767
CLTC,CLTC [treatment or intervention]AND patient,AND patient,51
CLTCL1,CLTCL1 [treatment or intervention]AND patient,AND patient,20
COL4A1,COL4A1 [treatment or intervention]AND patient,AND patient,302
COL4A2,COL4A2 [treatment or intervention]AND patient,AND patient,135
CREBBP,CREBBP [treatment or intervention]AND patient,AND patient,577
CTBP1,CTBP1 [treatment or intervention]AND patient,AND patient,65
CTC1,CTC1 [treatment or intervention]AND patient,AND patient,57
CTNNB1,CTNNB1 [treatment or intervention]AND patient,AND patient,2958
CUL4B,CUL4B [treatment or intervention]AND patient,AND patient,72
CYP2U1,CYP2U1 [treatment or intervention]AND patient,AND patient,20
DDC,DDC [treatment or intervention]AND patient,AND patient,916
DDHD2,DDHD2 [treatment or intervention]AND patient,AND patient,17
DDX3X,DDX3X [treatment or intervention]AND patient,AND patient,149
DKC1,DKC1 [treatment or intervention]AND patient,AND patient,182
DNM1,DNM1 [treatment or intervention]AND patient,AND patient,30
DNM1L,DNM1L [treatment or intervention]AND patient,AND patient,210
DNMT3A,DNMT3A [treatment or intervention]AND patient,AND patient,1520
DOCK6,DOCK6 [treatment or intervention]AND patient,AND patient,22
DYNC1H1,DYNC1H1 [treatment or intervention]AND patient,AND patient,75
DYRK1A,DYRK1A [treatment or intervention]AND patient,AND patient,149
EARS2,EARS2 [treatment or intervention]AND patient,AND patient,27
EBF3,EBF3 [treatment or intervention]AND patient,AND patient,28
ECHS1,ECHS1 [treatment or intervention]AND patient,AND patient,66
EEF1A2,EEF1A2 [treatment or intervention]AND patient,AND patient,81
EHMT1,EHMT1 [treatment or intervention]AND patient,AND patient,85
EIF2B2,EIF2B2 [treatment or intervention]AND patient,AND patient,25
EP300,EP300 [treatment or intervention]AND patient,AND patient,502
EPG5,EPG5 [treatment or intervention]AND patient,AND patient,28
ERCC6,ERCC6 [treatment or intervention]AND patient,AND patient,186
ERCC8,ERCC8 [treatment or intervention]AND patient,AND patient,82
EXOSC3,EXOSC3 [treatment or intervention]AND patient,AND patient,35
EZH2,EZH2 [treatment or intervention]AND patient,AND patient,2271
FA2H,FA2H [treatment or intervention]AND patient,AND patient,61
FAR1,FAR1 [treatment or intervention]AND patient,AND patient,17
FARS2,FARS2 [treatment or intervention]AND patient,AND patient,25
FBN2,FBN2 [treatment or intervention]AND patient,AND patient,109
FGD1,FGD1 [treatment or intervention]AND patient,AND patient,47
FGF12,FGF12 [treatment or intervention]AND patient,AND patient,52
FGFR1,FGFR1 [treatment or intervention]AND patient,AND patient,1754
FH,FH [treatment or intervention]AND patient,AND patient,7536
FOXG1,FOXG1 [treatment or intervention]AND patient,AND patient,165
FRRS1L,FRRS1L [treatment or intervention]AND patient,AND patient,5
FUCA1,FUCA1 [treatment or intervention]AND patient,AND patient,41
G6PD,G6PD [treatment or intervention]AND patient,AND patient,1886
GABRA1,GABRA1 [treatment or intervention]AND patient,AND patient,119
GABRB2,GABRB2 [treatment or intervention]AND patient,AND patient,60
GFAP,GFAP [treatment or intervention]AND patient,AND patient,3371
GLRA1,GLRA1 [treatment or intervention]AND patient,AND patient,51
GNAO1,GNAO1 [treatment or intervention]AND patient,AND patient,84
GNAS,GNAS [treatment or intervention]AND patient,AND patient,969
GNB1,GNB1 [treatment or intervention]AND patient,AND patient,52
GPT2,GPT2 [treatment or intervention]AND patient,AND patient,26
GRIA3,GRIA3 [treatment or intervention]AND patient,AND patient,54
GRIN1,GRIN1 [treatment or intervention]AND patient,AND patient,128
GRIN2B,GRIN2B [treatment or intervention]AND patient,AND patient,187
HACE1,HACE1 [treatment or intervention]AND patient,AND patient,43
HDAC8,HDAC8 [treatment or intervention]AND patient,AND patient,123
HECW2,HECW2 [treatment or intervention]AND patient,AND patient,27
HIST1H1E,HIST1H1E [treatment or intervention]AND patient,AND patient,28
HNRNPH2,HNRNPH2 [treatment or intervention]AND patient,AND patient,13
HPRT1,HPRT1 [treatment or intervention]AND patient,AND patient,153
IDS,IDS [treatment or intervention]AND patient,AND patient,1992
IFIH1,IFIH1 [treatment or intervention]AND patient,AND patient,564
IQSEC2,IQSEC2 [treatment or intervention]AND patient,AND patient,52
ITPR1,ITPR1 [treatment or intervention]AND patient,AND patient,141
KAT6A,KAT6A [treatment or intervention]AND patient,AND patient,82
KCNB1,KCNB1 [treatment or intervention]AND patient,AND patient,60
KCNC3,KCNC3 [treatment or intervention]AND patient,AND patient,28
KCNQ2,KCNQ2 [treatment or intervention]AND patient,AND patient,284
KCNT1,KCNT1 [treatment or intervention]AND patient,AND patient,103
KCTD7,KCTD7 [treatment or intervention]AND patient,AND patient,26
KDM5C,KDM5C [treatment or intervention]AND patient,AND patient,126
KIAA2022/NEXMIF,KIAA2022/NEXMIF [treatment or intervention]AND patient,AND patient,1
KIDINS220,KIDINS220 [treatment or intervention]AND patient,AND patient,15
KIF11,KIF11 [treatment or intervention]AND patient,AND patient,228
KIF1A,KIF1A [treatment or intervention]AND patient,AND patient,96
KMT2A,KMT2A [treatment or intervention]AND patient,AND patient,1067
KMT2B,KMT2B [treatment or intervention]AND patient,AND patient,91
L1CAM,L1CAM [treatment or intervention]AND patient,AND patient,486
LIPH,LIPH [treatment or intervention]AND patient,AND patient,41
LMAN2L,LMAN2L [treatment or intervention]AND patient,AND patient,4
MAP2K1,MAP2K1 [treatment or intervention]AND patient,AND patient,570
MBD5,MBD5 [treatment or intervention]AND patient,AND patient,47
MECP2,MECP2 [treatment or intervention]AND patient,AND patient,1250
MED12,MED12 [treatment or intervention]AND patient,AND patient,207
MED13L,MED13L [treatment or intervention]AND patient,AND patient,39
MEF2C,MEF2C [treatment or intervention]AND patient,AND patient,244
MFN2,MFN2 [treatment or intervention]AND patient,AND patient,450
MICU1,MICU1 [treatment or intervention]AND patient,AND patient,44
MOCS2,MOCS2 [treatment or intervention]AND patient,AND patient,28
MTFMT,MTFMT [treatment or intervention]AND patient,AND patient,16
NAA10,NAA10 [treatment or intervention]AND patient,AND patient,47
NACC1,NACC1 [treatment or intervention]AND patient,AND patient,31
NALCN,NALCN [treatment or intervention]AND patient,AND patient,42
NGLY1,NGLY1 [treatment or intervention]AND patient,AND patient,70
NIPBL,NIPBL [treatment or intervention]AND patient,AND patient,177
NKX2-1,NKX2-1 [treatment or intervention]AND patient,AND patient,459
NKX6-2,NKX6-2 [treatment or intervention]AND patient,AND patient,16
OPA1,OPA1 [treatment or intervention]AND patient,AND patient,461
OPHN1,OPHN1 [treatment or intervention]AND patient,AND patient,48
OTUD6B,OTUD6B [treatment or intervention]AND patient,AND patient,25
PANK2,PANK2 [treatment or intervention]AND patient,AND patient,176
PCDH12,PCDH12 [treatment or intervention]AND patient,AND patient,12
PDHA1,PDHA1 [treatment or intervention]AND patient,AND patient,131
PDHX,PDHX [treatment or intervention]AND patient,AND patient,44
PEX16,PEX16 [treatment or intervention]AND patient,AND patient,29
PGAP1,PGAP1 [treatment or intervention]AND patient,AND patient,9
PHIP,PHIP [treatment or intervention]AND patient,AND patient,105
PHKA1,PHKA1 [treatment or intervention]AND patient,AND patient,21
PIEZO2,PIEZO2 [treatment or intervention]AND patient,AND patient,47
PIGA,PIGA [treatment or intervention]AND patient,AND patient,915
PIGN,PIGN [treatment or intervention]AND patient,AND patient,86
PIGV,PIGV [treatment or intervention]AND patient,AND patient,17
PIK3CD,PIK3CD [treatment or intervention]AND patient,AND patient,264
PLA2G6,PLA2G6 [treatment or intervention]AND patient,AND patient,207
PLOD1,PLOD1 [treatment or intervention]AND patient,AND patient,61
PLP1,PLP1 [treatment or intervention]AND patient,AND patient,216
PNKP,PNKP [treatment or intervention]AND patient,AND patient,36
POGZ,POGZ [treatment or intervention]AND patient,AND patient,38
POLG1,POLG1 [treatment or intervention]AND patient,AND patient,146
POMGNT1,POMGNT1 [treatment or intervention]AND patient,AND patient,95
PPM1D,PPM1D [treatment or intervention]AND patient,AND patient,142
PPT1,PPT1 [treatment or intervention]AND patient,AND patient,99
PRUNE1,PRUNE1 [treatment or intervention]AND patient,AND patient,20
PTPN11,PTPN11 [treatment or intervention]AND patient,AND patient,927
PURA,PURA [treatment or intervention]AND patient,AND patient,202
RAB3GAP1,RAB3GAP1 [treatment or intervention]AND patient,AND patient,39
RAB3GAP2,RAB3GAP2 [treatment or intervention]AND patient,AND patient,19
REEP1,REEP1 [treatment or intervention]AND patient,AND patient,56
RNASEH2B,RNASEH2B [treatment or intervention]AND patient,AND patient,49
RPE65,RPE65 [treatment or intervention]AND patient,AND patient,373
RYR1,RYR1 [treatment or intervention]AND patient,AND patient,1058
RYR2,RYR2 [treatment or intervention]AND patient,AND patient,1107
SACS,SACS [treatment or intervention]AND patient,AND patient,1251
SATB2,SATB2 [treatment or intervention]AND patient,AND patient,219
SCN1A,SCN1A [treatment or intervention]AND patient,AND patient,883
SCN2A,SCN2A [treatment or intervention]AND patient,AND patient,298
SCN8A,SCN8A [treatment or intervention]AND patient,AND patient,203
SEPSECS,SEPSECS [treatment or intervention]AND patient,AND patient,24
SETBP1,SETBP1 [treatment or intervention]AND patient,AND patient,203
SETD2,SETD2 [treatment or intervention]AND patient,AND patient,302
SETD5,SETD5 [treatment or intervention]AND patient,AND patient,26
SHANK3,SHANK3 [treatment or intervention]AND patient,AND patient,256
SHOC2,SHOC2 [treatment or intervention]AND patient,AND patient,90
SIL1,SIL1 [treatment or intervention]AND patient,AND patient,48
SIN3A,SIN3A [treatment or intervention]AND patient,AND patient,68
SLC13A5,SLC13A5 [treatment or intervention]AND patient,AND patient,33
SLC16A2,SLC16A2 [treatment or intervention]AND patient,AND patient,150
SLC1A2,SLC1A2 [treatment or intervention]AND patient,AND patient,145
SLC1A4,SLC1A4 [treatment or intervention]AND patient,AND patient,31
SLC2A1,SLC2A1 [treatment or intervention]AND patient,AND patient,849
SLC6A3,SLC6A3 [treatment or intervention]AND patient,AND patient,413
SMARCA2,SMARCA2 [treatment or intervention]AND patient,AND patient,163
SMARCB1,SMARCB1 [treatment or intervention]AND patient,AND patient,660
SNAP29,SNAP29 [treatment or intervention]AND patient,AND patient,29
SON,SON [treatment or intervention]AND patient,AND patient,9999
SOX2,SOX2 [treatment or intervention]AND patient,AND patient,2363
SPAST,SPAST [treatment or intervention]AND patient,AND patient,240
SPATA5,SPATA5 [treatment or intervention]AND patient,AND patient,16
SPG11,SPG11 [treatment or intervention]AND patient,AND patient,181
SPR,SPR [treatment or intervention]AND patient,AND patient,1453
SPTAN1,SPTAN1 [treatment or intervention]AND patient,AND patient,49
STAMBP,STAMBP [treatment or intervention]AND patient,AND patient,22
STAT3,STAT3 [treatment or intervention]AND patient,AND patient,8254
STXBP1,STXBP1 [treatment or intervention]AND patient,AND patient,184
SUMF1,SUMF1 [treatment or intervention]AND patient,AND patient,60
SYNE1,SYNE1 [treatment or intervention]AND patient,AND patient,150
SYNGAP1,SYNGAP1 [treatment or intervention]AND patient,AND patient,89
TAF1,TAF1 [treatment or intervention]AND patient,AND patient,77
TANGO2,TANGO2 [treatment or intervention]AND patient,AND patient,40
TBCK,TBCK [treatment or intervention]AND patient,AND patient,15
TBL1XR1,TBL1XR1 [treatment or intervention]AND patient,AND patient,97
TCF4,TCF4 [treatment or intervention]AND patient,AND patient,532
TELO2,TELO2 [treatment or intervention]AND patient,AND patient,11
TOE1,TOE1 [treatment or intervention]AND patient,AND patient,8
TPP1,TPP1 [treatment or intervention]AND patient,AND patient,216
TRAPPC9,TRAPPC9 [treatment or intervention]AND patient,AND patient,32
TREX1,TREX1 [treatment or intervention]AND patient,AND patient,158
TRIP12,TRIP12 [treatment or intervention]AND patient,AND patient,20
TSEN54,TSEN54 [treatment or intervention]AND patient,AND patient,28
TUBA1A,TUBA1A [treatment or intervention]AND patient,AND patient,81
TUBB2A,TUBB2A [treatment or intervention]AND patient,AND patient,25
TUBB2B,TUBB2B [treatment or intervention]AND patient,AND patient,56
TUBB3,TUBB3 [treatment or intervention]AND patient,AND patient,318
TUBB4A,TUBB4A [treatment or intervention]AND patient,AND patient,58
UBA5,UBA5 [treatment or intervention]AND patient,AND patient,12
UBE3A,UBE3A [treatment or intervention]AND patient,AND patient,287
UPF3B,UPF3B [treatment or intervention]AND patient,AND patient,28
USP9X,USP9X [treatment or intervention]AND patient,AND patient,91
VPS11,VPS11 [treatment or intervention]AND patient,AND patient,11
WAC,WAC [treatment or intervention]AND patient,AND patient,250
WDR26,WDR26 [treatment or intervention]AND patient,AND patient,12
WDR45,WDR45 [treatment or intervention]AND patient,AND patient,76
WWOX,WWOX [treatment or intervention]AND patient,AND patient,196
YY1,YY1 [treatment or intervention]AND patient,AND patient,401
ZC4H2,ZC4H2 [treatment or intervention]AND patient,AND patient,14
ZDHHC9,ZDHHC9 [treatment or intervention]AND patient,AND patient,19
ZEB2,ZEB2 [treatment or intervention]AND patient,AND patient,504
ZNF423,ZNF423 [treatment or intervention]AND patient,AND patient,17
